"Company Name#","Primary Contact","Parent Account",Email,"Main Phone","Other Phone",Fax,Website,"Address Type","Address1 Name","Address1 Street1","Address1 Street2","Address1 Street3","Address1 City","Address1 State","Address1 Zipcode","Address1 Country","Address Phone","Address1 Shipping Method","Address1 Freight Terms",Description,Industry,"Annual Revenue","No Of Employees",Siccode,Ownership,Tickersymbol,Territory,"Relationship Type",Category,Currency,"Credit Limit",CreditHold,"Payment Terms","Price List",Owner,PreferredMethodofContact,DonotAllowEmails,DonotAllowPhoneCalls,DonotAllowMails,DonotAllowBulkEmails,DonotAllowFaxes,FollowEmailActivity,OriginatingLead,SendMarketingMaterials,PreferRedday,PreferRedTime,PreferRedService,PreferRedFacilityEquipment,PreferRedUser,SageCustomerNumber,Baynets,ConstructionSafety,House,Incordplay,IncordPlaySpecialty,MaterialHandling,Specialty,Sports,Theatre,Distributor,Enduser,Termscode,NameofBroker,ShippingContact,CarrierShipvia,CarrierAccountNumber,CarrierContact,"CRM Guid","CRM Parent Account Id","CRM Parent Account Name","Pricing Tier","Active Flag",AccountNumber,Division,Salesperson
"City of North Vancouver Operat",,,,,,,,,,"61 Bewicke Ave.",,,"North Vancouver",BC,"V7M 3B6",CAN,,,00,"Robin Ritz",,,,,,,,2,,,,,00,,"Robin Ritz",,,,,,,,,,,,,,,50-CITY82,,,,,,,,,,,,00,,,,,,20fca84c-2429-e711-815d-e0071b6a50c1,,,,1,14005,,"Robin Ritz"
"City of Regina",,,,,,,,,,"1202 Ross Ave",,,Regina,SK,"S4P 3C8",CAN,,"PPD GRD",00,"House BayNets",,,,,,,,2,,,,,00,,"House BayNets",,,,,,,,,,,,,,,40-CITY28,,,,,,,,,,,,00,,,,,,df52367f-2429-e711-815d-e0071b6a50c1,,,,1,17265,,"House BayNets"
"CND Rope & Industrial Supply",,,,,,"(780) 468-7673",,,,"1654-70th Ave",,,Edmonton,AB,"T6P 1P5",CAN,,"PPA INTL",02,"Robin Ritz",,,,,,,,2,,,,,02,,"Robin Ritz",,,,,,,,,,,,,,,50-CNDR01,,,,,,,,,,,,02,,,,,,455b367f-2429-e711-815d-e0071b6a50c1,,,,1,18759,,"Robin Ritz"
"CNH North America Inc",,,,,,,,,,"1000, 71st ST E",,,Saskatoon,SK,"S7P 0B5",CAN,,"UPS PPD GRD",00,"House BayNets",,,,,,,,2,,,,,00,,"House BayNets",,,,,,,,,,,,,,,40-CNHS01,,,,,,,,,,,,00,,,,,,f152367f-2429-e711-815d-e0071b6a50c1,,,,1,17266,,"House BayNets"
"Cobequid Trail Consulting",,,,,,,,,,"3361 Hwy 2",,,Economy,NS,"B0M 1J0",CAN,,"PPA INTL",02,"Jerry Rodman",,,,,,,,2,,,,,02,,"Jerry Rodman",,,,,,,,,,,,,,,50-COBE01,,,,,,,,,,,,02,,,,,,46fda84c-2429-e711-815d-e0071b6a50c1,,,,1,11610,,"Jerry Rodman"
"Community Babcock",,,,,,"(905) 791-8057",,,,"12 Chelsea Lane",,,Brampton,ON,"L6T 3Y4",CAN,,"PPA INTL",00,"House BayNets",,,,,,,,2,,,,,00,,"House BayNets",,,,,,,,,,,,,,,40-COMM02,,,,,,,,,,,,00,,,,,,67a2b046-2429-e711-815d-e0071b6a50c1,,,,1,14918,,"House BayNets"
"Confederation Lube & Tire",,,,,,"(519) 344-3320",,,,"787 Confederation Sq",,,Sarnia,ON,"N7T 2E4",CAN,,"PPA INTL",00,"House BayNets",,,,,,,,2,,,,,00,,"House BayNets",,,,,,,,,,,,,,,40-CONF01,,,,,,,,,,,,00,,,,,,fb52367f-2429-e711-815d-e0071b6a50c1,,,,1,16087,,"House BayNets"
"Cooper Standard",,,,,,,,,,"703 Douro St.",,,Stratford,ON,"N5A 3T1",CAN,,"3RD PTY",00,"Brian Stevenson",,,,,,,,2,,,,,00,,"Brian Stevenson",,,,,,,,,,,,,,,30-COOP01,,,,,,,,,,,,00,,,,,,1358367f-2429-e711-815d-e0071b6a50c1,,,,1,12393,,"Brian Stevenson"
"County of Bruce Highways Dept.",,,,,,,,,,"30 Park St.",,,Walkerton,ON,"N0G 2V0",CAN,,"UPS PPD GRD",00,"House BayNets",,,,,,,,2,,,,,00,,"House BayNets",,,,,,,,,,,,,,,40-COUN02,,,,,,,,,,,,00,,,,,,0553367f-2429-e711-815d-e0071b6a50c1,,,,1,19695,,"House BayNets"
"Creations dans les arbres",,,,,,,,,,"4306 chemin Vincent Massey",,,Rawdan,QC,"J0K 1S0",CAN,,,00,"Robin Ritz",,,,,,,,2,,,,,00,,"Robin Ritz",,,,,,,,,,,,,,,50-CREA12,,,,,,,,,,,,00,,,,,,7d5b367f-2429-e711-815d-e0071b6a50c1,,,,1,17524,,"Robin Ritz"
"Crosby Canada Inc",,,,,,"(905) 457-3331",,,,"145 Heart Lake Rd",,,Brampton,ON,"L6W 3K3",CAN,,"PPA INTL",00,"Brian Stevenson",,,,,,,,2,,,,,00,,"Brian Stevenson",,,,,,,,,,,,,,,30-CROS01,,,,,,,,,,,,00,,,,,,1149367f-2429-e711-815d-e0071b6a50c1,,,,1,15917,,"Brian Stevenson"
Cuisinox,,,,,,,,,,"525 Fernand Poitras",,,Terrebonne,QC,"J6Y 1Y5",CAN,,"PPA INTL",00,"Charles Crawford",,,,,,,,2,,,,,00,,"Charles Crawford",,,,,,,,,,,,,,,60-CUIS01,,,,,,,,,,,,00,,,,,,83a8b046-2429-e711-815d-e0071b6a50c1,,,,1,15367,,"Charles Crawford"
"Custom Ice Inc.",,,,,,"(905) 632-6723",,,,"C2-3375 North Service Rd.",,,Burlington,ON,"L7N 3G2",CAN,,"PPA INTL",02,"Charles Crawford",,,,,,,,2,,,,,02,,"Charles Crawford",,,,,,,,,,,,,,,60-CUST07,,,,,,,,,,,,02,,,,,,7164367f-2429-e711-815d-e0071b6a50c1,,,,1,19015,,"Charles Crawford"
"Cypress Hills Eco-Adventures",,,,,,,,,,"Box 176",,,"Maple Creek",SK,"S0N 1NO",CAN,,"PPA INTL",00,"Robin Ritz",,,,,,,,2,,,,,00,,"Robin Ritz",,,,,,,,,,,,,,,50-CYPR02,,,,,,,,,,,,00,,,,,,975b367f-2429-e711-815d-e0071b6a50c1,,,,1,19940,,"Robin Ritz"
"David Marlowe",,,,,,,,,,"200 Oak Ridge Dr",,,"Baie D'urfe",QU,"HPX 2N2",CAN,,"PPA INTL",00,"Robin Ritz",,,,,,,,2,,,,,00,,"Robin Ritz",,,,,,,,,,,,,,,70-DAVI16,,,,,,,,,,,,00,,,,,,5f6b367f-2429-e711-815d-e0071b6a50c1,,,,1,19138,,"Robin Ritz"
"Daymar Mfg.",,,,,,,,,,"309314 Centre Line B","RR 1",,Badjeros,ON,"N0C 1A0",CAN,,COLLECT,00,"Jerry O'Neill",,,,,,,,2,,,,,00,,"Jerry O'Neill",,,,,,,,,,,,,,,30-DAYM01,,,,,,,,,,,,00,,,,,,ab4a367f-2429-e711-815d-e0071b6a50c1,,,,1,18342,,"Jerry O'Neill"
"DDI Dupont Distribution Indust",,,,,,"(450) 969-4259",,,,"198 Place Allard",,,Laval,QC,"H7X 3Y1",CAN,,"3RD PTY",00,"Brian Hillery",,,,,,,,2,,,,,00,,"Brian Hillery",,,,,,,,,,,,,,,10-DDID01,,,,,,,,,,,,00,,,,,,0554367f-2429-e711-815d-e0071b6a50c1,,,,1,12176,,"Brian Hillery"
"DeBruin Farms LTD",,,,,,,,,,"61 Button Bay Rd",,,"Wolfe Island",ON,"K0H 2Y0",CAN,,"PPA INTL",00,"Jen Gowac",,,,,,,,2,,,,,00,,"Jen Gowac",,,,,,,,,,,,,,,70-DEBR02,,,,,,,,,,,,00,,,,,,676b367f-2429-e711-815d-e0071b6a50c1,,,,1,16654,,"Jen Gowac"
"Deciantis Construction Limited",,,,,,"(905) 883-5243",,,,"475 Edward Ave, Unit #2",,,"Richmond Hill",ON,"L4C 5E5",CAN,,"PPD GRD",00,"Joe Menhart",,,,,,,,2,,,,,00,,"Joe Menhart",,,,,,,,,,,,,,,15-DECI01,,,,,,,,,,,,00,,,,,,02ffa84c-2429-e711-815d-e0071b6a50c1,,,,1,19488,,"Joe Menhart"
"Dematic Limited",,,,,,"(905) 363-6969",,,,"6711 Mississauga Rd., Ste 200",,,Mississauga,ON,"L5N 2W3",CAN,,"PPA INTL",00,"Brian Stevenson",,,,,,,,2,,,,,00,,"Brian Stevenson",,,,,,,,,,,,,,,30-SIEM07,,,,,,,,,,,,00,,,,,,855a367f-2429-e711-815d-e0071b6a50c1,,,,1,13686,,"Brian Stevenson"
"Derek Clease",,,,,,,,,,"601 W 22nd Ave.",,,Vancouver,BC,"V5Z 1Z5",CAN,,"PPA INTL",00,House,,,,,,,,2,,,,,00,,House,,,,,,,,,,,,,,,70-DERE02,,,,,,,,,,,,00,,,,,,696b367f-2429-e711-815d-e0071b6a50c1,,,,1,19140,,House
"Devitt & Forand Contractors, I",,,,,,"(403) 255-8501",,,,"5716 Burbank Cresent S.E.",,,Calgary,AB,"T2H 1Z6",CAN,,"PPA INTL",00,"House BayNets",,,,,,,,2,,,,,00,,"House BayNets",,,,,,,,,,,,,,,40-DEVI01,,,,,,,,,,,,00,,,,,,315c367f-2429-e711-815d-e0071b6a50c1,,,,1,13774,,"House BayNets"
"Dobco Enterprises Limited",,,,,,"(519) 833-9519",,,,"6 Erinville Drive",,,Erin,ON,"N0B 1T0",CAN,,"PPA INTL",00,House,,,,,,,,2,,,,,00,,House,,,,,,,,,,,,,,,70-DOBC01,,,,,,,,,,,,00,,,,,,776b367f-2429-e711-815d-e0071b6a50c1,,,,1,19141,,House
"Donald C. Salter",,,,,,,,,,"144 Beaconsfield Blvd.",,,Beaconsfield,QC,"H9W 3Z7",CAN,,USPS,00,"Robin Ritz",,,,,,,,2,,,,,00,,"Robin Ritz",,,,,,,,,,,,,,,70-DONA04,,,,,,,,,,,,00,,,,,,7f6b367f-2429-e711-815d-e0071b6a50c1,,,,1,20289,,"Robin Ritz"
"Dynamic Structures",,,,,,"(604) 294-4550",,,,"1515 Kingsway Ave",,,"Port Coquitlam",BC,"V3C 1S2",CAN,,,00,"Jen Gowac",,,,,,,,2,,,,,00,,"Jen Gowac",,,,,,,,,,,,,,,70-DYNA01,,,,,,,,,,,,00,,,,,,d0e7a84c-2429-e711-815d-e0071b6a50c1,,,,1,11977,,"Jen Gowac"
"Dynamo Industries",,,,,,"(613) 845-0914",,,,"880 Taylor Creek Dr.","Suite 122",,Ottawa,ON,"K1C 1T1",CAN,,"PPA INTL",00,"Robin Ritz",,,,,,,,2,,,,,00,,"Robin Ritz",,,,,,,,,,,,,,,50-DYMA01,,,,,,,,,,,,00,,,,,,53a3b046-2429-e711-815d-e0071b6a50c1,,,,1,11628,,"Robin Ritz"
"Earthscape Play Inc.",,,,,,"(519) 669-5085",,,,"7215 Wellington Rd. 86",,,Wallenstein,ON,"N0B 2S0",CAN,,"PPA INTL",02,"Robin Ritz",,,,,,,,2,,,,,02,,"Robin Ritz",,,,,,,,,,,,,,,50-EART01,,,,,,,,,,,,02,,,,,,bb5e367f-2429-e711-815d-e0071b6a50c1,,,,1,16304,,"Robin Ritz"
"Econo-Rack Storage Equipment",,,,,,"(905) 670-1710",,,,"1770 Britannia Rd. East",,,Mississauga,ON,"L4W 1J3",CAN,,"PPA INTL",00,"Brian Stevenson",,,,,,,,2,,,,,00,,"Brian Stevenson",,,,,,,,,,,,,,,30-ECON01,,,,,,,,,,,,00,,,,,,0af2a84c-2429-e711-815d-e0071b6a50c1,,,,1,14776,,"Brian Stevenson"
"Edmonton Opera Association",,,,,,"(780) 429-0600",,,,"15230-128 Ave",,,Edmonton,AB,"T5V 1A8",CAN,,"PPA INTL",00,"Jen Gowac",,,,,,,,2,,,,,00,,"Jen Gowac",,,,,,,,,,,,,,,70-EDMO01,,,,,,,,,,,,00,,,,,,ab6b367f-2429-e711-815d-e0071b6a50c1,,,,1,17896,,"Jen Gowac"
"Ellis Don Construction",,,,,,"(403) 253-4191",,,,"300-7330 Fisher St SE",,,Calgary,AB,"T2H 2H8",CAN,,"PPA INTL",00,"Brian Hillery",,,,,,,,2,,,,,00,,"Brian Hillery",,,,,,,,,,,,,,,10-ELLI02,,,,,,,,,,,,00,,,,,,3354367f-2429-e711-815d-e0071b6a50c1,,,,1,18124,,"Brian Hillery"
"Enscaf Corp.",,,,,,"(416) 613-2829",,,,"210 Cochrane Dr.","Unit 8",,Markham,ON,"L3R 8E6",CAN,,"COLLECT INT'L",02,"Brian Hillery",,,,,,,,2,,,,,02,,"Brian Hillery",,,,,,,,,,,,,,,10-ENSC01,,,,,,,,,,,,02,,,,,,cfa8b046-2429-e711-815d-e0071b6a50c1,,,,1,12190,,"Brian Hillery"
"Entrepot Frigorifique Int'l",,,,,,"(514) 344-5028",,,,"8155 Transcanadienne",,,"St Laurent",QC,"H4S 1S4",CAN,,"PPA INTL",00,"Jerry O'Neill",,,,,,,,2,,,,,00,,"Jerry O'Neill",,,,,,,,,,,,,,,30-ENTR01,,,,,,,,,,,,00,,,,,,8f58367f-2429-e711-815d-e0071b6a50c1,,,,1,15939,,"Jerry O'Neill"
"Equipement Boni Inc.",,,,,,"(450) 653-5391",,,,"1299 Marie-Victorin",,,St-Bruno,QC,"J3V 6B7",CAN,,"3RD PTY",02,"Jerry O'Neill",,,,,,,,2,,,,,02,,"Jerry O'Neill",,,,,,,,,,,,,,,30-EQUI04,,,,,,,,,,,,02,,,,,,9158367f-2429-e711-815d-e0071b6a50c1,,,,1,18357,,"Jerry O'Neill"
Etalex,,,,,,"(514) 351-2100",,,,"8501 Jarry Street East",,,Anjou,QC,"H1J 1H7",CAN,,"3RD PTY",00,"Brian Stevenson",,,,,,,,2,,,,,00,,"Brian Stevenson",,,,,,,,,,,,,,,30-ETAL01,,,,,,,,,,,,00,,,,,,dba7b046-2429-e711-815d-e0071b6a50c1,,,,1,14781,,"Brian Stevenson"
Evacuscape,,,,,,,,,,"150 Steeprock Drive",,,Toronto,ON,"M3J 2T4",CAN,,"PPD GRD",00,"Nikki Spirito",,,,,,,,2,,,,,00,,"Nikki Spirito",,,,,,,,,,,,,,,70-EVAU01,,,,,,,,,,,,00,,,,,,1b4f367f-2429-e711-815d-e0071b6a50c1,,,,1,14380,,"Nikki Spirito"
"Ever-Wear Canada",,,,,,"(705) 733-9085",,,,"22 Fawn Cres",,,Barrie,ON,"L4N 7Z5",CAN,,"PPA INTL",00,"House BayNets",,,,,,,,2,,,,,00,,"House BayNets",,,,,,,,,,,,,,,40-EVER01,,,,,,,,,,,,00,,,,,,8953367f-2429-e711-815d-e0071b6a50c1,,,,1,18546,,"House BayNets"
Expographiq,,,,,,"(819) 770-9816",,,,"65, rue Adrien-Robert",,,Gatineau,QC,"J8Y 3S3",CAN,,"PPA INTL",00,"Brian Hillery",,,,,,,,2,,,,,00,,"Brian Hillery",,,,,,,,,,,,,,,10-EXPO01,,,,,,,,,,,,00,,,,,,4954367f-2429-e711-815d-e0071b6a50c1,,,,1,11003,,"Brian Hillery"
"Extreme Zipline",,,,,,"(905) 794-1071",,,,"7855 Finch Ave W",,,Brampton,ON,"L6T 0B2",CAN,,"PPA INTL",00,"Robin Ritz",,,,,,,,2,,,,,00,,"Robin Ritz",,,,,,,,,,,,,,,50-EXTR03,,,,,,,,,,,,00,,,,,,cb5e367f-2429-e711-815d-e0071b6a50c1,,,,1,11636,,"Robin Ritz"
"Farley Manufacturing Inc.",,,,,,"(519) 821-5424",,,,"6 Kerr Crescent",,,Puslinch,ON,"N0B 2J0",CAN,,"PPD GRD",02,"Charles Crawford",,,,,,,,2,,,,,02,,"Charles Crawford",,,,,,,,,,,,,,,60-FARL01,,,,,,,,,,,,02,,,,,,9b66367f-2429-e711-815d-e0071b6a50c1,,,,1,13073,,"Charles Crawford"
"Farwest Transit",,,,,,"(250) 861-7872",,,,"1494 Hardy St",,,Kelowna,BC,"V1Y 8H2",CAN,,"PPA INTL",00,"House BayNets",,,,,,,,2,,,,,00,,"House BayNets",,,,,,,,,,,,,,,40-FARW01,,,,,,,,,,,,00,,,,,,9d53367f-2429-e711-815d-e0071b6a50c1,,,,1,18549,,"House BayNets"
"F&D Scene Changes",,,,,,"(403) 266-7597",,,,"28, 803 - 24th Ave SE",,,Calgary,AB,"T2G 1P5",CAN,,,00,"Robin Ritz",,,,,,,,2,,,,,00,,"Robin Ritz",,,,,,,,,,,,,,,50-F&DS01,,,,,,,,,,,,00,,,,,,3aeaa84c-2429-e711-815d-e0071b6a50c1,,,,1,12830,,"Robin Ritz"
"FedEx Trade Networks",,,,,,,,,,T10007C/U,"PO Box 10007, Postal Station A",,,ON,"M5W 2B1",CAN,,100000000,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,FEDE03,,,,,,,,,,,,,,,,,,edace0aa-2f29-e711-8112-e0071b6aa201,,,,1,10129,,
"Fillmore Construction",,,,,,,,,,"9114-34A Ave",,,Edmonton,AB,"T6E 5P4",CAN,,"PPA INTL",00,"House BayNets",,,,,,,,2,,,,,00,,"House BayNets",,,,,,,,,,,,,,,40-FILL01,,,,,,,,,,,,00,,,,,,5f52367f-2429-e711-815d-e0071b6a50c1,,,,1,11391,,"House BayNets"
"Finnerty Millwrighting LTD",,,,,,"(905) 940-1277",,,,"441 Esna Park Dr. Unit 5",,,Markham,ON,"L3R 1H7",CAN,,COLLECT,02,"Jerry O'Neill",,,,,,,,2,,,,,02,,"Jerry O'Neill",,,,,,,,,,,,,,,30-FINN01,,,,,,,,,,,,02,,,,,,e94c367f-2429-e711-815d-e0071b6a50c1,,,,1,11216,,"Jerry O'Neill"
"Finnie Hauling",,,,,,,,,,"2505 Country Hills Blvd NE",,,Calgary,AB,"T3N 1A6",CAN,,"PPA INTL",00,"House BayNets",,,,,,,,2,,,,,00,,"House BayNets",,,,,,,,,,,,,,,40-FINN01,,,,,,,,,,,,00,,,,,,c6faa84c-2429-e711-815d-e0071b6a50c1,,,,1,11393,,"House BayNets"
"Fireball Equipment Ltd",,,,,,"(780) 944-4898",,,,"17509 109A Ave",,,Edmonton,AB,"T5S 2W4",CAN,,COLLECT,51,"Joe Menhart",,,,,,,,2,,,,,51,,"Joe Menhart",,,,,,,,,,,,,,,40-FIRE01,,,,,,,,,,,,51,,,,,,b553367f-2429-e711-815d-e0071b6a50c1,,,,1,18550,,"Joe Menhart"
"First Canada ULC",,,,,,"(250) 542-4493",,,,"4210-24th Ave",,,Vernon,BC,"V1T 1M2",CAN,,"PPA INTL",00,"House BayNets",,,,,,,,2,,,,,00,,"House BayNets",,,,,,,,,,,,,,,40-FIRS17,,,,,,,,,,,,00,,,,,,72e9a84c-2429-e711-815d-e0071b6a50c1,,,,1,12586,,"House BayNets"
"F.K. Machinery Limited",,,,,,"(705) 721-9714",,,,"475 Welham Rd",,,Barrie,ON,"L4N 8Z6",CAN,,"PPA INTL",00,"Brian Stevenson",,,,,,,,2,,,,,00,,"Brian Stevenson",,,,,,,,,,,,,,,30-FKMA01,,,,,,,,,,,,00,,,,,,a749367f-2429-e711-815d-e0071b6a50c1,,,,1,17114,,"Brian Stevenson"
"Ford Motor Company",,,,,,,,,,"Hwy 4 South","PO Box 2005",,"St Thomas",ON,"N5P 3W1",CAN,,"PPA INTL",00,"House BayNets",,,,,,,,2,,,,,00,,"House BayNets",,,,,,,,,,,,,,,40-FORD01,,,,,,,,,,,,00,,,,,,635c367f-2429-e711-815d-e0071b6a50c1,,,,1,14948,,"House BayNets"
"Ford Motor Co. Oakville",,,,,,,,,,"Assembly Complex General Store","The Canadian Road","Atn: Gord Smart",Oakville,ON,"L6J 5C9",CAN,,"PPA INTL",00,"House BayNets",,,,,,,,2,,,,,00,,"House BayNets",,,,,,,,,,,,,,,40-FORD03,,,,,,,,,,,,00,,,,,,30e7a84c-2429-e711-815d-e0071b6a50c1,,,,1,13790,,"House BayNets"
"Formula Powell LP",,,,,,"(780) 712-6173",,,,"Box 7616",,,Edson,AB,"T7E 1V7",CAN,,"PPA INTL",00,"House BayNets",,,,,,,,2,,,,,00,,"House BayNets",,,,,,,,,,,,,,,40-FORM01,,,,,,,,,,,,00,,,,,,f353367f-2429-e711-815d-e0071b6a50c1,,,,1,19717,,"House BayNets"
"Frazier Industrial Co., TLD",,,,,,"(908) 876-3615",,,,"163 N Murray St","T/A Fracan",,Trenton,ON,"K8V 6R7",CAN,,"PPD GRD",02,"Jerry O'Neill",,,,,,,,2,,,,,02,,"Jerry O'Neill",,,,,,,,,,,,,,,30-FRAZ04,,,,,,,,,,,,02,,,,,,bd49367f-2429-e711-815d-e0071b6a50c1,,,,1,17117,,"Jerry O'Neill"
"Gala Systems",,,,,,"(450) 678-4060",,,,"3185, Premiere rue",,,"St. Hubert",QC,"J3Y 8Y6",CAN,,COLLECT,02,"Joe Menhart",,,,,,,,2,,,,,02,,"Joe Menhart",,,,,,,,,,,,,,,15-GALA02,,,,,,,,,,,,02,,,,,,42ffa84c-2429-e711-815d-e0071b6a50c1,,,,1,18271,,"Joe Menhart"
"Garage Supply Contracting Inc",,,,,,"(705) 330-0332",,,,"PO Box 75",,,Orillia,ON,"L3V 6H9",CAN,,"PPA INTL",02,House,,,,,,,,2,,,,,02,,House,,,,,,,,,,,,,,,70-GARA01,,,,,,,,,,,,02,,,,,,ff6b367f-2429-e711-815d-e0071b6a50c1,,,,1,17910,,House
"Garage Supply Contracting Inc",,,,,,"(705) 330-0332",,,,"PO Box 75",,,Orillia,ON,"L3V 6H9",CAN,,"PPA INTL",02,"Joe Menhart",,,,,,,,2,,,,,02,,"Joe Menhart",,,,,,,,,,,,,,,40-GARA01,,,,,,,,,,,,02,,,,,,82efa84c-2429-e711-815d-e0071b6a50c1,,,,1,11404,,"Joe Menhart"
"Gardens for Living",,,,,,"(905) 627-9081",,,,"223 Park Street West",,,Dundas,ON,"L9H 1Y3",CAN,,COLLECT,00,"Robin Ritz",,,,,,,,2,,,,,00,,"Robin Ritz",,,,,,,,,,,,,,,50-GARD01,,,,,,,,,,,,00,,,,,,bafda84c-2429-e711-815d-e0071b6a50c1,,,,1,11650,,"Robin Ritz"
"Gata Industrial Services Inc.",,,,,,,,,,"PO Box 25056",,,Cambridge,ON,"N3C 4B6",CAN,,"PPA INTL",00,"House BayNets",,,,,,,,2,,,,,00,,"House BayNets",,,,,,,,,,,,,,,40-GATA01,,,,,,,,,,,,00,,,,,,84efa84c-2429-e711-815d-e0071b6a50c1,,,,1,11406,,"House BayNets"
"GATA Industrial Services Inc.",,,,,,"(519) 658-5731",,,,"PO Box 25056",,,Cambridge,ON,"N3C 4B6",CAN,,"PPA INTL",53,"Brian Hillery",,,,,,,,2,,,,,53,,"Brian Hillery",,,,,,,,,,,,,,,10-GATA01,,,,,,,,,,,,53,,,,,,5b54367f-2429-e711-815d-e0071b6a50c1,,,,1,11014,,"Brian Hillery"
"G&C Voisin Automotive Ltd",,,,,,,,,,"1295 Maryhill Rd",,,Maryhill,ON,"N0B 2B0",CAN,,"UPS PPA INTL",00,"Joe Menhart",,,,,,,,2,,,,,00,,"Joe Menhart",,,,,,,,,,,,,,,40-GCVA01,,,,,,,,,,,,00,,,,,,1554367f-2429-e711-815d-e0071b6a50c1,,,,1,17298,,"Joe Menhart"
GemSport,,,,,,,,,,"PO Box 57116",,,Longueuil,QC,"J4L 4T6",CAN,,"PPA INTL",00,"Charles Crawford",,,,,,,,2,,,,,00,,"Charles Crawford",,,,,,,,,,,,,,,60-GEMS01,,,,,,,,,,,,00,,,,,,574a367f-2429-e711-815d-e0071b6a50c1,,,,1,11848,,"Charles Crawford"
"Genaire Limited",,,,,,"(905) 684-2412",,,,"468 Niagara Stone Rd. RR4",,,"Niagara on the Lake",ON,"L0S 1J0",CAN,,"PPA INTL",00,"Brian Hillery",,,,,,,,2,,,,,00,,"Brian Hillery",,,,,,,,,,,,,,,10-GENA01,,,,,,,,,,,,00,,,,,,82eca84c-2429-e711-815d-e0071b6a50c1,,,,1,12202,,"Brian Hillery"
"General Motors of Canada",,,,,,,,,,"Product Engineering Cisco14027","H.Q.AdminBldg 1908 Colonel Sam",,Oshawa,ON,"L1H 8P7",CAN,,"PPA INTL",00,"Brian Stevenson",,,,,,,,2,,,,,00,,"Brian Stevenson",,,,,,,,,,,,,,,30-GENE08,,,,,,,,,,,,00,,,,,,bb58367f-2429-e711-815d-e0071b6a50c1,,,,1,19575,,"Brian Stevenson"
"Genstar Signs & Installations",,,,,,,,,,"420 Passmore Ave.",,,Toronto,ON,"M1V 5B1",CAN,,"PPD GRD",00,"Brian Hillery",,,,,,,,2,,,,,00,,"Brian Hillery",,,,,,,,,,,,,,,10-GENS02,,,,,,,,,,,,00,,,,,,c348367f-2429-e711-815d-e0071b6a50c1,,,,1,11016,,"Brian Hillery"
"GE Water Technologies",,,,,,,,,,"18 Royal Rd",,,Guelph,ON,"N1H 1G2",CAN,,"PPA INTL",00,"Brian Hillery",,,,,,,,2,,,,,00,,"Brian Hillery",,,,,,,,,,,,,,,10-GEWA01,,,,,,,,,,,,00,,,,,,1400a94c-2429-e711-815d-e0071b6a50c1,,,,1,16912,,"Brian Hillery"
Gintec,,,,,,"(519) 443-8120",,,,"Mark Lucas","RR #1",,"Windham Centre",ON,"N0E 2A0",CAN,,"PPA INTL",00,"Robin Ritz",,,,,,,,2,,,,,00,,"Robin Ritz",,,,,,,,,,,,,,,50-GINT01,,,,,,,,,,,,00,,,,,,08e8a84c-2429-e711-815d-e0071b6a50c1,,,,1,15192,,"Robin Ritz"
"Glen Abbey Golf Academy",,,,,,"(905) 844-1135",,,,"1333 Dorval Dr.",,,Oakville,ON,"L6M 4G2",CAN,,"PPD GRD",00,"Charles Crawford",,,,,,,,2,,,,,00,,"Charles Crawford",,,,,,,,,,,,,,,60-GLEN01,,,,,,,,,,,,00,,,,,,e964367f-2429-e711-815d-e0071b6a50c1,,,,1,20176,,"Charles Crawford"
"Glenridge Equipment Corp.",,,,,,"(519) 743-3049",,,,"110 Frosbisher Dr., Unit 4",,,Waterloo,ON,"N2V 2G7",CAN,,"PPA INTL",00,"Brian Stevenson",,,,,,,,2,,,,,00,,"Brian Stevenson",,,,,,,,,,,,,,,30-GLEN03,,,,,,,,,,,,00,,,,,,c6f3a84c-2429-e711-815d-e0071b6a50c1,,,,1,13614,,"Brian Stevenson"
"Graham Construction",,,,,,"(604) 535-8387",,,,"220 Highway 99",,,Surrey,BC,"V3S 9N7",CAN,,"PPA INTL",00,"House BayNets",,,,,,,,2,,,,,00,,"House BayNets",,,,,,,,,,,,,,,40-GRAH01,,,,,,,,,,,,00,,,,,,50f4a84c-2429-e711-815d-e0071b6a50c1,,,,1,13799,,"House BayNets"
"Graham Construction & Engineer",,,,,,"(403) 236-6575",,,,"8404 McIntyre Rd.",,,Edmonton,AB,"T6E 6V3",CAN,,"PPA INTL",00,"Brian Hillery",,,,,,,,2,,,,,00,,"Brian Hillery",,,,,,,,,,,,,,,10-GRAH02,,,,,,,,,,,,00,,,,,,76f9a84c-2429-e711-815d-e0071b6a50c1,,,,1,12206,,"Brian Hillery"
"Graham's Welding Ltd",,,,,,"(250) 833-4879",,,,"2590 30th St NE",,,"Salmon Arm",BC,"V1E 3G6",CAN,,"PPD GRD",00,"Brian Stevenson",,,,,,,,2,,,,,00,,"Brian Stevenson",,,,,,,,,,,,,,,30-GRAH02,,,,,,,,,,,,00,,,,,,ed49367f-2429-e711-815d-e0071b6a50c1,,,,1,15955,,"Brian Stevenson"
